id,cve,title,description,severity,cvss,assetId,applicationId,scanner,pluginId,port,protocol,firstSeen,lastSeen,status,owner,dueDate,environment,internetExposed,exploitAvailable,businessCriticality,dataSensitivity,riskScore,epssScore,cwe,isDuplicate,parentFindingId,falsePositiveReason,affectedComponent
VULN-0024,CVE-2026-6674,Cross-Site Scripting in React,Cross-Site Scripting in React affecting DB-PRD-02. Category: Cross-Site Scripting. Identified during routine Rapid7 scan.,Medium,4.7,AST-009,APP-04,Rapid7,RAP-633240,1433,HTTP,2026-08-15,2026-08-15,Triaged,Vikram Patel,2026-09-14,Production,true,false,High,Medium,45,0.77,CWE-79 (Cross-Site Scripting),false,,,
VULN-0025,CVE-2026-6413,Remote Code Execution via OpenSSL,Remote Code Execution via OpenSSL affecting LOAN-APP-01. Category: Remote Code Execution. Identified during routine Tenable scan.,Critical,9.1,AST-026,APP-15,Tenable,TEN-423440,3306,HTTPS,2026-04-30,2026-05-03,Closed,Vikram Patel,2026-05-07,Production,false,true,Low,Medium,84,0.04,CWE-94 (Code Injection),false,,,
VULN-0026,CVE-2026-5450,Cross-Site Scripting in React,Cross-Site Scripting in React affecting LOAN-DB-01. Category: Cross-Site Scripting. Identified during routine Rapid7 scan.,Medium,6.2,AST-027,APP-15,Rapid7,RAP-244141,22,HTTP,2026-05-24,2026-05-25,Validation,Karan Mehra,2026-06-23,Production,false,false,Medium,Low,33,0.08,CWE-79 (Cross-Site Scripting),false,,,
VULN-0027,CVE-2026-8973,Log4Shell Variant — Remote Code Execution,Log4Shell Variant — Remote Code Execution affecting APIGW-01. Category: Remote Code Execution. Identified during routine Nessus scan.,Critical,9.9,AST-035,APP-21,Nessus,NES-511731,3306,HTTPS,2026-08-06,2026-08-08,Accepted Risk,Deepika Rao,2026-08-13,Production,true,true,Low,Low,89,0.4,CWE-502 (Deserialization of Untrusted Data),false,,,
VULN-0028,CVE-2026-8497,Insecure Direct Object Reference in API,Insecure Direct Object Reference in API affecting VEND-PRTL-01. Category: IDOR. Identified during routine Rapid7 scan.,Medium,4.3,AST-031,APP-18,Rapid7,RAP-184683,80,HTTP,2026-06-06,2026-06-09,Validation,Rajiv Sinha,2026-07-06,Production,false,true,Critical,Low,47,0.96,CWE-639 (Authorization Bypass Through User-Controlled Key),false,,,
VULN-0029,CVE-2026-8184,Weak TLS Configuration (TLS 1.0),Weak TLS Configuration (TLS 1.0) affecting VEND-PRTL-01. Category: Weak Cryptography. Identified during routine Rapid7 scan.,Medium,5,AST-031,APP-18,Rapid7,RAP-994338,5432,SSH,2026-04-18,2026-04-20,Validation,Priya Nair,2026-05-18,Production,false,false,High,High,41,0.18,CWE-326 (Inadequate Encryption Strength),false,,,
VULN-0030,CVE-2026-8641,Clickjacking — Missing X-Frame-Options,Clickjacking — Missing X-Frame-Options affecting WEB-PRD-13. Category: Clickjacking. Identified during routine Tenable scan.,Low,1.7,AST-008,APP-03,Tenable,TEN-283777,3306,HTTPS,2026-05-17,2026-05-18,Accepted Risk,Vikram Patel,2026-07-16,Production,false,false,Medium,Medium,10,0.15,CWE-1021 (Improper Restriction of Rendered UI Layers),false,,,
VULN-0031,CVE-2026-8538,Weak TLS Configuration (TLS 1.0),Weak TLS Configuration (TLS 1.0) affecting DB-PRD-02. Category: Weak Cryptography. Identified during routine Nessus scan.,Medium,4.7,AST-009,APP-04,Nessus,NES-778005,5432,HTTP,2026-04-16,2026-04-19,Triaged,Manish Tiwari,2026-05-16,Production,false,true,Critical,Low,47,0.76,CWE-326 (Inadequate Encryption Strength),false,,,
VULN-0032,CVE-2026-9274,"Missing Security Headers (CSP, HSTS)","Missing Security Headers (CSP, HSTS) affecting FRAUD-SVC-02. Category: Security Misconfiguration. Identified during routine Qualys scan.",Medium,6.6,AST-025,APP-14,Qualys,QUA-256152,8080,HTTPS,2026-07-31,2026-07-31,Closed,Karan Mehra,2026-08-30,Production,false,true,Critical,High,52,0.68,CWE-693 (Protection Mechanism Failure),false,,,
VULN-0033,CVE-2026-6095,Insecure Direct Object Reference in API,Insecure Direct Object Reference in API affecting ANALYTICS-01. Category: IDOR. Identified during routine Rapid7 scan.,Medium,4.1,AST-039,APP-23,Rapid7,RAP-414847,1433,HTTPS,2026-04-28,2026-05-01,New,,2026-05-28,Production,false,false,High,Low,36,0.77,CWE-639 (Authorization Bypass Through User-Controlled Key),false,,,
VULN-0034,CVE-2026-8538,Server-Side Request Forgery in API Gateway,Server-Side Request Forgery in API Gateway affecting MOBILE-APP-01. Category: SSRF. Identified during routine Rapid7 scan.,High,8.1,AST-037,APP-22,Rapid7,RAP-673938,80,TLS,2026-07-23,2026-07-26,Validation,Amit Kumar,2026-08-07,Production,false,false,Low,Low,54,0.09,CWE-918 (Server-Side Request Forgery),false,,,
VULN-0035,CVE-2026-5045,Clickjacking — Missing X-Frame-Options,Clickjacking — Missing X-Frame-Options affecting K8S-PRD-01. Category: Clickjacking. Identified during routine Qualys scan.,Low,2.5,AST-016,APP-07,Qualys,QUA-542992,5432,HTTPS,2026-04-05,2026-04-05,Triaged,Neha Gupta,2026-06-04,Production,false,false,Low,Medium,6,0.15,CWE-1021 (Improper Restriction of Rendered UI Layers),false,,,
VULN-0036,CVE-2026-5998,Broken Access Control on Admin Endpoint,Broken Access Control on Admin Endpoint affecting MOBILE-APP-02. Category: Broken Access Control. Identified during routine Rapid7 scan.,Critical,9.9,AST-038,APP-22,Rapid7,RAP-615594,8080,TCP,2026-06-26,2026-06-28,Accepted Risk,Deepika Rao,2026-07-03,Production,true,true,Medium,Low,93,0.73,CWE-284 (Improper Access Control),false,,,
VULN-0037,CVE-2026-2604,Weak TLS Configuration (TLS 1.0),Weak TLS Configuration (TLS 1.0) affecting MAIL-SRV-01. Category: Weak Cryptography. Identified during routine Qualys scan.,Medium,6.2,AST-020,APP-10,Qualys,QUA-916434,3306,TLS,2026-06-17,2026-06-20,Triaged,Rajiv Sinha,2026-07-17,Production,true,false,Critical,Medium,48,0.55,CWE-326 (Inadequate Encryption Strength),false,,,
VULN-0038,CVE-2026-5735,Information Disclosure via Log Output,Information Disclosure via Log Output affecting ESB-CORE-01. Category: Information Disclosure. Identified during routine Tenable scan.,Low,1.4,AST-013,APP-06,Tenable,TEN-241670,1433,HTTPS,2026-06-20,2026-06-21,Accepted Risk,Amit Kumar,2026-08-19,Production,true,false,Medium,Medium,17,0.82,CWE-532 (Insertion of Sensitive Information into Log File),false,,,
VULN-0039,CVE-2026-6839,Privilege Escalation via Kernel Flaw,Privilege Escalation via Kernel Flaw affecting VEND-PRTL-01. Category: Privilege Escalation. Identified during routine Qualys scan.,Critical,9.1,AST-031,APP-18,Qualys,QUA-311431,5432,HTTP,2026-06-27,2026-06-30,Remediating,Arun Joshi,2026-07-04,Production,false,false,High,Medium,83,0.28,CWE-269 (Improper Privilege Management),false,,,
VULN-0040,CVE-2026-6016,Default Credentials on Management Interface,Default Credentials on Management Interface affecting AUTH-SVC-02. Category: Default Credentials. Identified during routine Qualys scan.,High,7.1,AST-012,APP-05,Qualys,QUA-206253,3306,TLS,2026-04-06,2026-04-07,Validation,Priya Nair,2026-04-21,Production,true,true,Medium,High,78,0.83,CWE-798 (Use of Hard-coded Credentials),false,,,
VULN-0041,CVE-2026-5086,Log4Shell Variant — Remote Code Execution,Log4Shell Variant — Remote Code Execution affecting MOBILE-APP-01. Category: Remote Code Execution. Identified during routine Tenable scan.,Critical,9.7,AST-037,APP-22,Tenable,TEN-309830,5432,HTTP,2026-06-19,2026-06-22,New,,2026-06-26,Production,false,true,Critical,High,97,0.92,CWE-502 (Deserialization of Untrusted Data),false,,,
VULN-0042,CVE-2026-6345,SQL Injection in Spring Framework,SQL Injection in Spring Framework affecting PAY-DB-01. Category: SQL Injection. Identified during routine Nessus scan.,Critical,9.3,AST-044,APP-01,Nessus,NES-493224,1433,SSH,2026-06-10,2026-06-11,New,,2026-06-17,Production,false,false,Low,Low,74,0.2,CWE-89 (SQL Injection),false,,,
VULN-0043,CVE-2026-2009,Weak Password Hashing Algorithm (MD5),Weak Password Hashing Algorithm (MD5) affecting WIN-PRD-01. Category: Weak Cryptography. Identified during routine Nessus scan.,Medium,6.8,AST-042,APP-17,Nessus,NES-541228,8080,TCP,2026-06-17,2026-06-20,Accepted Risk,Arun Joshi,2026-07-17,Production,true,true,Low,High,49,0.88,CWE-916 (Use of Password Hash With Insufficient Computational Effort),false,,,
VULN-0044,CVE-2026-1622,Privilege Escalation via Kernel Flaw,Privilege Escalation via Kernel Flaw affecting WEB-PRD-13. Category: Privilege Escalation. Identified during routine Qualys scan.,Critical,9.4,AST-008,APP-03,Qualys,QUA-438014,8080,HTTPS,2026-06-25,2026-06-25,Remediating,Deepika Rao,2026-07-02,Production,false,true,Low,High,87,0.29,CWE-269 (Improper Privilege Management),false,,,
VULN-0045,CVE-2026-4218,Insecure Direct Object Reference in API,Insecure Direct Object Reference in API affecting BATCH-SRV-04. Category: IDOR. Identified during routine Nessus scan.,High,8.7,AST-018,APP-09,Nessus,NES-163566,3306,TLS,2026-06-22,2026-06-22,Closed,Tanmay Singh,2026-07-07,Production,true,true,Low,High,74,0.1,CWE-639 (Authorization Bypass Through User-Controlled Key),false,,,
VULN-0046,CVE-2026-1506,Insecure Direct Object Reference in API,Insecure Direct Object Reference in API affecting IDP-01. Category: IDOR. Identified during routine Rapid7 scan.,Medium,5.2,AST-040,APP-24,Rapid7,RAP-822150,1433,HTTP,2026-07-21,2026-07-24,Closed,Rajiv Sinha,2026-08-20,Production,true,false,Low,High,41,0.41,CWE-639 (Authorization Bypass Through User-Controlled Key),false,,,
VULN-0047,CVE-2026-8637,Clickjacking — Missing X-Frame-Options,Clickjacking — Missing X-Frame-Options affecting PAY-DB-01. Category: Clickjacking. Identified during routine Qualys scan.,Low,2,AST-044,APP-01,Qualys,QUA-258770,443,SSH,2026-07-02,2026-07-04,Assigned,Priya Nair,2026-08-31,Production,false,false,Low,High,9,0.5,CWE-1021 (Improper Restriction of Rendered UI Layers),false,,,
VULN-0048,CVE-2026-4491,Remote Code Execution via OpenSSL,Remote Code Execution via OpenSSL affecting DB-PRD-02. Category: Remote Code Execution. Identified during routine Qualys scan.,Critical,9.8,AST-009,APP-04,Qualys,QUA-123618,8443,HTTPS,2026-04-16,2026-04-19,Accepted Risk,Sunita Iyer,2026-04-23,Production,true,true,Medium,Medium,95,0.76,CWE-94 (Code Injection),false,,,
VULN-0049,CVE-2026-2002,Clickjacking — Missing X-Frame-Options,Clickjacking — Missing X-Frame-Options affecting LOAN-APP-01. Category: Clickjacking. Identified during routine Rapid7 scan.,Low,0.2,AST-026,APP-15,Rapid7,RAP-384075,1433,TLS,2026-06-15,2026-06-16,Closed,Arun Joshi,2026-08-14,Production,false,false,Medium,Low,8,0.02,CWE-1021 (Improper Restriction of Rendered UI Layers),false,,,
VULN-0050,CVE-2026-5985,Broken Access Control on Admin Endpoint,Broken Access Control on Admin Endpoint affecting APIGW-01. Category: Broken Access Control. Identified during routine Rapid7 scan.,Critical,9.1,AST-035,APP-21,Rapid7,RAP-260653,1433,TLS,2026-06-08,2026-06-10,Triaged,Anita Rao,2026-06-15,Production,false,false,Low,Low,74,0.95,CWE-284 (Improper Access Control),false,,,
VULN-0051,CVE-2026-7417,Default Credentials on Management Interface,Default Credentials on Management Interface affecting MOBILE-APP-02. Category: Default Credentials. Identified during routine Tenable scan.,High,8.5,AST-038,APP-22,Tenable,TEN-312530,80,TLS,2026-04-11,2026-04-11,Closed,Manish Tiwari,2026-04-26,Production,false,true,High,Low,69,0.77,CWE-798 (Use of Hard-coded Credentials),false,,,
VULN-0052,CVE-2026-1246,Remote Code Execution via OpenSSL,Remote Code Execution via OpenSSL affecting DB-PRD-03. Category: Remote Code Execution. Identified during routine Rapid7 scan.,Critical,9.2,AST-010,APP-04,Rapid7,RAP-208020,22,SSH,2026-05-13,2026-05-14,Assigned,Amit Kumar,2026-05-20,Production,true,true,High,Medium,98,0.21,CWE-94 (Code Injection),false,,,
VULN-0053,CVE-2026-9483,Weak Password Hashing Algorithm (MD5),Weak Password Hashing Algorithm (MD5) affecting AUTH-SVC-02. Category: Weak Cryptography. Identified during routine Qualys scan.,Medium,5.1,AST-012,APP-05,Qualys,QUA-204392,8080,HTTPS,2026-04-22,2026-04-22,New,,2026-05-22,Production,true,true,Critical,Medium,56,0.3,CWE-916 (Use of Password Hash With Insufficient Computational Effort),false,,,
VULN-0054,CVE-2026-6790,Privilege Escalation via Kernel Flaw,Privilege Escalation via Kernel Flaw affecting LINUX-PRD-08. Category: Privilege Escalation. Identified during routine Qualys scan.,Critical,9.6,AST-015,APP-07,Qualys,QUA-864222,1433,HTTP,2026-05-07,2026-05-07,Assigned,Rahul Sharma,2026-05-14,Production,false,false,Critical,Medium,86,0.79,CWE-269 (Improper Privilege Management),false,,,
VULN-0055,CVE-2026-3807,Authentication Bypass in Apache HTTP Server,Authentication Bypass in Apache HTTP Server affecting ANALYTICS-01. Category: Authentication Bypass. Identified during routine Rapid7 scan.,Critical,9.1,AST-039,APP-23,Rapid7,RAP-298837,443,HTTPS,2026-06-18,2026-06-21,Closed,Amit Kumar,2026-06-25,Production,true,true,Low,Low,89,0.48,CWE-287 (Improper Authentication),false,,,
VULN-0056,CVE-2026-2787,Unpatched CVE in Third-Party Library,Unpatched CVE in Third-Party Library affecting DB-PRD-02. Category: Vulnerable Dependency. Identified during routine Rapid7 scan.,Medium,6.8,AST-009,APP-04,Rapid7,RAP-792328,80,HTTP,2026-04-23,2026-04-25,Accepted Risk,Priyanka Desai,2026-05-23,Production,false,false,High,Medium,38,0.07,CWE-1104 (Use of Unmaintained Third-Party Components),false,,,
VULN-0057,CVE-2026-8118,Insecure Direct Object Reference in API,Insecure Direct Object Reference in API affecting PAY-DB-01. Category: IDOR. Identified during routine Tenable scan.,High,7.2,AST-044,APP-01,Tenable,TEN-502276,8080,HTTP,2026-07-01,2026-07-02,New,,2026-07-16,Production,true,false,Critical,High,76,0.43,CWE-639 (Authorization Bypass Through User-Controlled Key),false,,,
VULN-0058,CVE-2026-1422,Server-Side Request Forgery in API Gateway,Server-Side Request Forgery in API Gateway affecting STATIC-CDN-03. Category: SSRF. Identified during routine Qualys scan.,High,7.4,AST-022,APP-12,Qualys,QUA-280855,80,SSH,2026-06-20,2026-06-23,Accepted Risk,Rajiv Sinha,2026-07-05,Production,false,true,Medium,Medium,68,0.22,CWE-918 (Server-Side Request Forgery),false,,,
VULN-0059,CVE-2026-4275,Broken Access Control on Admin Endpoint,Broken Access Control on Admin Endpoint affecting PORTAL-WEB-02. Category: Broken Access Control. Identified during routine Qualys scan.,Critical,9.7,AST-017,APP-08,Qualys,QUA-987295,22,TCP,2026-07-25,2026-07-27,Accepted Risk,Amit Kumar,2026-08-01,Production,true,true,Critical,Medium,99,0.7,CWE-284 (Improper Access Control),false,,,
VULN-0060,CVE-2026-2067,"Missing Security Headers (CSP, HSTS)","Missing Security Headers (CSP, HSTS) affecting NOTIF-SVC-01. Category: Security Misconfiguration. Identified during routine Tenable scan.",Low,1.9,AST-033,APP-20,Tenable,TEN-922700,3306,TLS,2026-04-19,2026-04-20,Remediating,Priyanka Desai,2026-06-18,Production,true,false,Critical,High,26,0.8,CWE-693 (Protection Mechanism Failure),false,,,
VULN-0061,CVE-2026-5807,Broken Access Control on Admin Endpoint,Broken Access Control on Admin Endpoint affecting DEV-APP-09. Category: Broken Access Control. Identified during routine Tenable scan.,Critical,9.2,AST-045,APP-13,Tenable,TEN-805262,443,TCP,2026-05-28,2026-05-28,Assigned,Vikram Patel,2026-06-04,Development,true,false,Critical,Medium,93,0.31,CWE-284 (Improper Access Control),false,,,
VULN-0062,CVE-2026-9040,Insecure Direct Object Reference in API,Insecure Direct Object Reference in API affecting BATCH-SRV-05. Category: IDOR. Identified during routine Qualys scan.,High,7.8,AST-019,APP-09,Qualys,QUA-666911,5432,HTTPS,2026-06-30,2026-07-02,Closed,Amit Kumar,2026-07-15,Production,true,false,Medium,Medium,67,0.67,CWE-639 (Authorization Bypass Through User-Controlled Key),false,,,
VULN-0063,CVE-2026-4832,Path Traversal in Nginx,Path Traversal in Nginx affecting PAY-API-02. Category: Path Traversal. Identified during routine Tenable scan.,High,8.4,AST-002,APP-01,Tenable,TEN-360707,1433,HTTP,2026-04-17,2026-04-20,Closed,Tanmay Singh,2026-05-02,Production,false,false,Low,Medium,56,0.55,CWE-22 (Path Traversal),false,,,
VULN-0064,CVE-2026-2096,Information Disclosure via Log Output,Information Disclosure via Log Output affecting CRM-APP-01. Category: Information Disclosure. Identified during routine Tenable scan.,Low,0.6,AST-004,APP-02,Tenable,TEN-563216,8080,HTTPS,2026-05-03,2026-05-04,Closed,Neha Gupta,2026-07-02,Production,true,false,Medium,High,20,0.72,CWE-532 (Insertion of Sensitive Information into Log File),false,,,
VULN-0065,CVE-2026-1633,Session Fixation Vulnerability,Session Fixation Vulnerability affecting ESB-CORE-01. Category: Session Management. Identified during routine Tenable scan.,Medium,4.9,AST-013,APP-06,Tenable,TEN-389304,3306,TCP,2026-06-24,2026-06-24,Closed,Vikram Patel,2026-07-24,Production,true,false,Critical,High,51,0.77,CWE-384 (Session Fixation),false,,,
VULN-0066,CVE-2026-5139,Weak Password Hashing Algorithm (MD5),Weak Password Hashing Algorithm (MD5) affecting MOBILE-APP-01. Category: Weak Cryptography. Identified during routine Qualys scan.,Medium,5.2,AST-037,APP-22,Qualys,QUA-124853,443,SSH,2026-07-31,2026-07-31,Accepted Risk,Vikram Patel,2026-08-30,Production,false,false,Medium,High,38,0.65,CWE-916 (Use of Password Hash With Insufficient Computational Effort),false,,,
VULN-0067,CVE-2026-9600,Deserialization Vulnerability in Java,Deserialization Vulnerability in Java affecting LINUX-PRD-07. Category: Insecure Deserialization. Identified during routine Rapid7 scan.,High,7.4,AST-014,APP-07,Rapid7,RAP-252634,8443,HTTPS,2026-04-26,2026-04-29,Remediating,Priyanka Desai,2026-05-11,Production,false,false,High,Low,61,0.88,CWE-502 (Deserialization of Untrusted Data),false,,,
